steps,coffee_acquired,coffee_picked,coffee_bought,coffee_ordered
16,1,1,1,1
14,1,1,1,1
16,1,1,1,1
16,1,1,1,1
16,1,1,1,1
16,1,1,1,1
16,1,1,1,1
14,1,1,1,1
16,1,1,1,1
14,1,1,1,1
15,1,1,1,1
16,1,1,1,1
16,1,1,1,1
15,1,1,1,1
16,1,1,1,1
16,1,1,1,1
16,1,1,1,1
16,1,1,1,1
16,1,1,1,1
16,1,1,1,1
16,1,1,1,1
15,1,1,1,1
16,1,1,1,1
16,1,1,1,1
16,1,1,1,1
16,1,1,1,1
16,1,1,1,1
15,1,1,1,1
16,1,1,1,1
16,1,1,1,1
16,1,1,1,1
16,1,1,1,1
16,1,1,1,1
16,1,1,1,1
16,1,1,1,1
16,1,1,1,1
15,1,1,1,1
16,1,1,1,1
16,1,1,1,1
16,1,1,1,1
16,1,1,1,1
16,1,1,1,1
15,1,1,1,1
16,1,1,1,1
16,1,1,1,1
16,1,1,1,1
14,1,1,1,1
15,1,1,1,1
16,1,1,1,1
16,1,1,1,1
